Day,Replicate,Sample_Type,Sample_Name,Reagent_Lot,y,Ref
1,1,Low,L1,1,21,26.1
1,2,Low,L1,1,22.8,26.1
1,3,Low,L1,1,28.2,26.1
1,4,Low,L1,1,25.9,26.1
2,1,Low,L1,1,26.4,26.1
2,2,Low,L1,1,28.3,26.1
2,3,Low,L1,1,20.7,26.1
2,4,Low,L1,1,21.9,26.1
3,1,Low,L1,1,24.7,26.1
3,2,Low,L1,1,22.5,26.1
3,3,Low,L1,1,28.5,26.1
3,4,Low,L1,1,29.2,26.1
1,1,Low,L2,1,13.3,16.9
1,2,Low,L2,1,12.6,16.9
1,3,Low,L2,1,18.2,16.9
1,4,Low,L2,1,14.7,16.9
2,1,Low,L2,1,17.8,16.9
2,2,Low,L2,1,14,16.9
2,3,Low,L2,1,14.1,16.9
2,4,Low,L2,1,12.5,16.9
3,1,Low,L2,1,11.3,16.9
3,2,Low,L2,1,12.2,16.9
3,3,Low,L2,1,16.2,16.9
3,4,Low,L2,1,13.9,16.9
1,1,Low,L3,1,12.8,13.1
1,2,Low,L3,1,12.9,13.1
1,3,Low,L3,1,17.4,13.1
1,4,Low,L3,1,16,13.1
2,1,Low,L3,1,15.9,13.1
2,2,Low,L3,1,14.1,13.1
2,3,Low,L3,1,11.3,13.1
2,4,Low,L3,1,9.4,13.1
3,1,Low,L3,1,10.6,13.1
3,2,Low,L3,1,13.6,13.1
3,3,Low,L3,1,17.6,13.1
3,4,Low,L3,1,14.9,13.1
1,1,Low,L4,1,17.3,20.4
1,2,Low,L4,1,19.2,20.4
1,3,Low,L4,1,21.5,20.4
1,4,Low,L4,1,22.2,20.4
2,1,Low,L4,1,24.1,20.4
2,2,Low,L4,1,25.8,20.4
2,3,Low,L4,1,16,20.4
2,4,Low,L4,1,16.4,20.4
3,1,Low,L4,1,24.9,20.4
3,2,Low,L4,1,23.8,20.4
3,3,Low,L4,1,22.1,20.4
3,4,Low,L4,1,26.1,20.4
1,1,Low,L5,1,19.2,27.8
1,2,Low,L5,1,22.7,27.8
1,3,Low,L5,1,28.3,27.8
1,4,Low,L5,1,26.2,27.8
2,1,Low,L5,1,25.1,27.8
2,2,Low,L5,1,30.3,27.8
2,3,Low,L5,1,23.4,27.8
2,4,Low,L5,1,19.2,27.8
3,1,Low,L5,1,26.3,27.8
3,2,Low,L5,1,23.1,27.8
3,3,Low,L5,1,27.5,27.8
3,4,Low,L5,1,30.1,27.8
1,1,Low,L1,2,22,26.1
1,2,Low,L1,2,22.5,26.1
1,3,Low,L1,2,21.8,26.1
1,4,Low,L1,2,22.1,26.1
2,1,Low,L1,2,20.3,26.1
2,2,Low,L1,2,21,26.1
2,3,Low,L1,2,25.3,26.1
2,4,Low,L1,2,26,26.1
3,1,Low,L1,2,27.2,26.1
3,2,Low,L1,2,25.1,26.1
3,3,Low,L1,2,25.3,26.1
3,4,Low,L1,2,25.3,26.1
1,1,Low,L2,2,15.6,16.9
1,2,Low,L2,2,21.2,16.9
1,3,Low,L2,2,14.8,16.9
1,4,Low,L2,2,14.9,16.9
2,1,Low,L2,2,16,16.9
2,2,Low,L2,2,15.8,16.9
2,3,Low,L2,2,21.6,16.9
2,4,Low,L2,2,22.8,16.9
3,1,Low,L2,2,15.3,16.9
3,2,Low,L2,2,18.7,16.9
3,3,Low,L2,2,18.3,16.9
3,4,Low,L2,2,19.5,16.9
1,1,Low,L3,2,13,13.1
1,2,Low,L3,2,15.9,13.1
1,3,Low,L3,2,9,13.1
1,4,Low,L3,2,7,13.1
2,1,Low,L3,2,13.4,13.1
2,2,Low,L3,2,8.5,13.1
2,3,Low,L3,2,16.3,13.1
2,4,Low,L3,2,18.1,13.1
3,1,Low,L3,2,12.4,13.1
3,2,Low,L3,2,11.1,13.1
3,3,Low,L3,2,11.3,13.1
3,4,Low,L3,2,10.1,13.1
1,1,Low,L4,2,18.8,20.4
1,2,Low,L4,2,17.6,20.4
1,3,Low,L4,2,14.1,20.4
1,4,Low,L4,2,14.9,20.4
2,1,Low,L4,2,19.2,20.4
2,2,Low,L4,2,15.8,20.4
2,3,Low,L4,2,19.8,20.4
2,4,Low,L4,2,21.4,20.4
3,1,Low,L4,2,18,20.4
3,2,Low,L4,2,18,20.4
3,3,Low,L4,2,19.6,20.4
3,4,Low,L4,2,23.1,20.4
1,1,Low,L5,2,32.9,27.8
1,2,Low,L5,2,30.4,27.8
1,3,Low,L5,2,29.4,27.8
1,4,Low,L5,2,27.6,27.8
2,1,Low,L5,2,27.7,27.8
2,2,Low,L5,2,30.6,27.8
2,3,Low,L5,2,31.4,27.8
2,4,Low,L5,2,30.4,27.8
3,1,Low,L5,2,32.5,27.8
3,2,Low,L5,2,28.9,27.8
3,3,Low,L5,2,29.8,27.8
3,4,Low,L5,2,35.1,27.8
